datum gepubliceerd,dossier nr,dossier toevoeging,kamerstuk ondernummer,url
2010-07-22,27925,,400,https://zoek.officielebekendmakingen.nl/kst-27925-400
2010-07-22,28286,,424,https://zoek.officielebekendmakingen.nl/kst-28286-424
2010-07-22,21501,07,745,https://zoek.officielebekendmakingen.nl/kst-21501-07-745
2010-07-22,29453,,166,https://zoek.officielebekendmakingen.nl/kst-29453-166
2010-07-22,29689,,305,https://zoek.officielebekendmakingen.nl/kst-29689-305
2010-07-23,27428,,170,https://zoek.officielebekendmakingen.nl/kst-27428-170
2010-07-23,26834,,34,https://zoek.officielebekendmakingen.nl/kst-26834-34
2010-07-27,32279,,8,
2010-07-30,29544,,256,https://zoek.officielebekendmakingen.nl/kst-29544-256
2010-09-02,32043,,3,https://zoek.officielebekendmakingen.nl/kst-32043-3
2010-09-13,21501,07,750,https://zoek.officielebekendmakingen.nl/kst-21501-07-750
2010-09-20,21501,02,987,https://zoek.officielebekendmakingen.nl/kst-21501-02-987
2010-09-20,29344,,75,https://zoek.officielebekendmakingen.nl/kst-29344-75
2010-09-22,21501,02,988,https://zoek.officielebekendmakingen.nl/kst-21501-02-988
2010-09-30,29296,,8,https://zoek.officielebekendmakingen.nl/kst-29296-8
2010-09-30,21501,33,293,https://zoek.officielebekendmakingen.nl/kst-21501-33-293
2010-09-30,21501,02,990,https://zoek.officielebekendmakingen.nl/kst-21501-02-990
2010-09-30,29407,,114,https://zoek.officielebekendmakingen.nl/kst-29407-114
2010-10-05,31209,,136,https://zoek.officielebekendmakingen.nl/kst-31209-136
2010-10-05,30545,,92,https://zoek.officielebekendmakingen.nl/kst-30545-92
2010-10-06,28286,,438,https://zoek.officielebekendmakingen.nl/kst-28286-438
2010-10-06,26150,,94,https://zoek.officielebekendmakingen.nl/kst-26150-94
